"CT.Geo_GEOID","CT.Geo_NAME","CT.DENSITY","CT.AVGINCOME","CT.AVGINCOMESE","CT.SIZE","CT.SIZESE","CT.ROOMS","CT.ROOMSSE","CT.DEGREE","CT.DEGREESE","CT.OWN","CT.OWNSE","CT.VEHICLES","CT.VEHICLESSE"
"14000US06075010100","Census Tract 101, San Francisco County, California",13232.09,114017,18137.2121214,1.84275184275184,0.107331280356249,3.18454190186713,0.0883798840188838,0.596068796068796,0.0263765632120383,0.0992628992628993,0.019691306286086,0.635380835380835,0.0783521886302989
"14000US06075010200","Census Tract 102, San Francisco County, California",21917.63,201997.6,23883.5151506,1.71006389776358,0.125267270736355,4.2238219895288,0.13309803271423,0.79832268370607,0.0462893533703607,0.363817891373802,0.0487698201305379,0.991613418530351,0.101896192851896
"14000US06075010300","Census Tract 103, San Francisco County, California",42257.97,178474.4,38603.515144,2.05489614243323,0.135968546523799,4.32072299285414,0.124102856082474,0.656280909990109,0.0369594330713593,0.263105835806133,0.0496298259435556,0.962413452027695,0.097924841095214
"14000US06075010400","Census Tract 104, San Francisco County, California",35832.98,185543.2,30133.212118,1.86504333470904,0.137298198986363,4.03850156087409,0.125998361731477,0.782913743293438,0.0512556104714763,0.362360709863805,0.0500694223812594,0.883615352868345,0.0985844829276106
"14000US06075010500","Census Tract 105, San Francisco County, California",10194.54,150564.4,19154.1818186,1.62460367786937,0.121958147410785,3.09362348178138,0.0973134197914987,0.771084337349398,0.0480731851429141,0.187064045656309,0.0306997101543537,0.629676601141408,0.0822058522505575
"14000US06075010600","Census Tract 106, San Francisco County, California",48487.4,81919.4,9344.1212104,1.84699453551913,0.111773524756463,3.05246053853296,0.0870760719571648,0.443169398907104,0.0241862775851772,0.121311475409836,0.0283584517972477,0.383060109289617,0.0650886446460363
"14000US06075010700","Census Tract 107, San Francisco County, California",77799.33,54964.6,5931.0303022,2.12003311258278,0.11890281275502,2.85257806826434,0.0851982055561895,0.219784768211921,0.0141446344494329,0.100993377483444,0.0268937914715434,0.398592715231788,0.0774305123144346
"14000US06075010800","Census Tract 108, San Francisco County, California",56445.55,132257,15717.2121212,1.83981154299175,0.101619766534641,4.14498006524103,0.124901102394982,0.706713780918728,0.0316888802799158,0.238319591676482,0.0339155206294101,0.797016097369454,0.0818990675716253
"14000US06075010900","Census Tract 109, San Francisco County, California",46861.05,162733.2,16796.7272732,1.63922155688623,0.0935057732061808,3.97779319916725,0.112906969576315,0.781437125748503,0.0283037608123576,0.20247005988024,0.0346421928198797,0.767215568862275,0.0856190021338688
"14000US06075011000","Census Tract 110, San Francisco County, California",53853.51,174277.6,18743.7575756,1.86423183803096,0.121165072952224,3.59456635318704,0.0924110702727074,0.704247717348154,0.0368625813575094,0.182215164747916,0.0354619656006978,0.603811036125447,0.0944904265805334
"14000US06075011100","Census Tract 111, San Francisco County, California",50865.41,112847.2,12222.0606056,1.5218525766471,0.0849292000405791,2.86765578635015,0.0775762867483524,0.65003261578604,0.0247095967149299,0.106979778212655,0.0276812939389486,0.44487932159165,0.0760435480951938
"14000US06075011200","Census Tract 112, San Francisco County, California",49313.92,161849.6,20434.7878782,1.69791666666667,0.09838956394654,3.76703577512777,0.0879163183539969,0.763020833333333,0.0359448532604968,0.315104166666667,0.0395602976201749,0.784375,0.0762167297503638
"14000US06075011300","Census Tract 113, San Francisco County, California",73600.35,82629.8,12117.3333334,1.83858267716535,0.114190769354232,2.99940334128878,0.120245542801222,0.325459317585302,0.0192568000681632,0.113517060367454,0.0228267264870248,0.290682414698163,0.0725301936833989
"14000US06075011700","Census Tract 117, San Francisco County, California",7937.033,88569,14436.363636,1.56611165523996,0.12666094951432,2.05851851851852,0.106066463969895,0.528893241919687,0.0403219094181683,0.0577864838393732,0.0193208268541502,0.363369245837414,0.0961033647921407
"14000US06075011800","Census Tract 118, San Francisco County, California",71338.69,59937.4,11615.151516,2.0140252454418,0.128107602956814,2.3639846743295,0.107477853244663,0.305750350631136,0.0206154806281255,0.00841514726507714,0.00765987902635611,0.211781206171108,0.0698761154906928
"14000US06075011901","Census Tract 119.01, San Francisco County, California",108640.3,106478.4,10940.8484852,1.49174917491749,0.0902423559843447,2.85945633314054,0.0883486120250962,0.685808580858086,0.0297000915049011,0.308910891089109,0.0373373051063291,0.533993399339934,0.0747339811028656
"14000US06075011902","Census Tract 119.02, San Francisco County, California",78629.55,100798.2,7829.5757568,1.55031267765776,0.0878036051904949,2.59727822580645,0.0805901610906801,0.689596361569073,0.0275722123990339,0.0625355315520182,0.0159979308468444,0.36498010233087,0.0623002932012423
"14000US06075012000","Census Tract 120, San Francisco County, California",81878.75,60504.6,7124,1.50547667342799,0.110574239740359,2.02625044341965,0.0969291196630557,0.438133874239351,0.0250041551548729,0.031237322515213,0.0150664571654516,0.307505070993915,0.0702032005383216
"14000US06075012100","Census Tract 121, San Francisco County, California",85260.36,88198.6,12269.8181812,1.52781673679289,0.1023790948734,2.55449413808076,0.109559914292671,0.681626928471248,0.0347832061236823,0.0663861617578308,0.0186552380028483,0.258064516129032,0.0791450300829775
"14000US06075012201","Census Tract 122.01, San Francisco County, California",132529.9,70676.4,8445.0909082,1.58417567096549,0.108456843616733,2.1277490297542,0.0941373493538454,0.467410247472987,0.0249500371304248,0.0467061693970024,0.0134779624794349,0.243987452073893,0.0775130558683743
