"CT2000.Geo_FIPS","CT2000.Geo_NAME","CT2000.AVGINCOME","CT2000.SIZE","CT2000.ROOMS","CT2000.DEGREE","CT2000.OWN","CT2000.VEHICLES"
6075010100,"Census Tract 101",77222.48018,1.63,2.61265432098765,0.556318126766249,0.1375,0.782386363636364
6075010200,"Census Tract 102",134212.4773,1.55,3.71780551905388,0.705144291091593,0.288037585833032,1.03758583303216
6075010300,"Census Tract 103",89129.1091,1.96,4.06875805758487,0.597882083571837,0.261472275334608,0.934034416826004
6075010400,"Census Tract 104",107189.348,1.85,3.69713694377372,0.613830798479088,0.28745247148289,0.988973384030418
6075010500,"Census Tract 105",129609.5865,1.45,3.06924315619968,0.685387910518801,0.245233399079553,0.770576798444588
6075010600,"Census Tract 106",54566.34615,2.07,2.75975552421251,0.324469674335226,0.102977061981454,0.574740996546621
6075010700,"Census Tract 107",32187.12522,1.99,2.30947580645161,0.165784832451499,0.0561638996820911,0.314023313316849
6075010800,"Census Tract 108",102852.7295,2.07,3.49797421731123,0.464529813810983,0.234248788368336,0.734652665589661
6075010900,"Census Tract 109",92079.91266,1.64,3.45223152022315,0.647825018432047,0.180924645067346,0.818347287950491
6075011000,"Census Tract 110",60593.41244,2.05,3.42266047950503,0.446463178294574,0.130737704918033,0.695081967213115
6075011100,"Census Tract 111",49323.09264,1.79,2.65031280869279,0.426233134262331,0.0627986348122867,0.514334470989761
6075011200,"Census Tract 112",121992.5501,1.77,3.61505376344086,0.570305127398553,0.231689803733844,0.701292484442317
6075011300,"Census Tract 113",40191.7709,2.12,2.30755064456722,0.167886022333462,0.102883355176933,0.290301441677588
6075011400,"Census Tract 114",22238.88175,2.11,1.90289505428227,0.0556438791732909,0.0371599203715992,0.109103078982597
6075011500,"Census Tract 115",21717.10794,1.39,1.25378151260504,0.155487804878049,0.0477064220183486,0.17921146953405
6075011700,"Census Tract 117",30937.33469,1.71,1.73080168776371,0.2625,0.0199600798403194,0.192614770459082
6075011800,"Census Tract 118",28529.30801,2.09,1.96713021491783,0.146321746160065,0.00831024930747922,0.195290858725762
6075011900,"Census Tract 119",66511.15955,1.49,2.51011826544021,0.493318233295583,0.140493468795356,0.391872278664732
6075012000,"Census Tract 120",33822.96467,1.51,1.84623733719247,0.349790254920942,0.01049766718507,0.252941176470588
6075012100,"Census Tract 121",41044.84402,1.45,1.99048374306106,0.458909090909091,0.0339055793991416,0.208758503401361
6075012200,"Census Tract 122",38912.05069,1.75,1.93348060873834,0.344755774327906,0.0486794407042983,0.258156395649922
6075012300,"Census Tract 123",30789.34754,1.52,1.45989665243765,0.276872332169189,0.00399680255795364,0.178257394084732
6075012400,"Census Tract 124",25589.65757,1.72,1.46843133000651,0.303182579564489,0.00762476894639556,0.271487985212569
6075012500,"Census Tract 125",19462.59722,1.65,1.3873757025508,0.136874518860662,0.00784780023781213,0.138406658739596
6075012600,"Census Tract 126",121563.7488,1.52,3.75554906542056,0.744556677890011,0.20817843866171,1.13785625774473
6075012700,"Census Tract 127",129447.5604,1.6,3.92226613965744,0.776,0.262700228832952,1.22608695652174
6075012800,"Census Tract 128",149444.2424,1.7,4.52483634963419,0.767624728850325,0.284904896802914,1.26021853500607
6075012900,"Census Tract 129",100104.6213,1.56,3.48124669836239,0.698400312134218,0.159134483703095,0.995617639003013
6075013000,"Census Tract 130",132271.4911,1.63,3.95454545454545,0.757350920582578,0.250198886237072,1.06284805091488
6075013100,"Census Tract 131",115365.6727,1.56,3.61616639092413,0.76049982644915,0.19064039408867,0.99679802955665
6075013200,"Census Tract 132",210150.921,1.8,4.89780469341408,0.807547169811321,0.363153594771242,1.27777777777778
6075013300,"Census Tract 133",207557.868,2.09,5.45684310920362,0.774872257288849,0.432323232323232,1.48181818181818
6075013400,"Census Tract 134",138974.8699,1.71,4.19317160826595,0.836529393272556,0.314420803782506,1.15933806146572
6075013500,"Census Tract 135",131159.9763,1.52,3.64004203888597,0.722844827586207,0.232050545663412,0.983522727272727
6075015100,"Census Tract 151",89096.14188,1.43,2.82659932659933,0.607502287282708,0.307081807081807,0.744143033292232
6075015200,"Census Tract 152",80660.98786,1.58,3.18618499404526,0.612726749208177,0.194479297365119,0.9155165202844
6075015300,"Census Tract 153",106008.8867,1.97,4.33198380566802,0.619635193133047,0.319620253164557,1.15238095238095
6075015400,"Census Tract 154",104217.5172,1.97,4.33577371048253,0.630190311418685,0.275077559462254,1.21003781368168
6075015500,"Census Tract 155",61279.79127,1.63,2.63245614035088,0.446026490066225,0.134633682207422,0.548233046800382
6075015600,"Census Tract 156",82308.64575,2.13,4.4019245003701,0.629097440502919,0.296923076923077,1.29769230769231
6075015700,"Census Tract 157",80225.93047,2.13,4.4317472698908,0.56832298136646,0.266395112016293,1.28187372708758
6075015800,"Census Tract 158",68073.03861,2.1,3.57663354411322,0.481573896353167,0.176891933976954,0.91186546247275
6075015900,"Census Tract 159",54175.86207,1.88,2.89155555555556,0.478637770897833,0.219613259668508,0.813996316758748
6075016000,"Census Tract 160",61440.2371,1.43,2.43784445805266,0.539700166574125,0.251057827926657,0.715693173821253
6075016100,"Census Tract 161",40348.49386,1.95,2.75604395604396,0.246983311938383,0.0684778563453666,0.657238556010421
6075016200,"Census Tract 162",49290.97174,1.68,2.52613941018767,0.439047619047619,0.0677154582763338,0.6223440712817
6075016300,"Census Tract 163",55435.14314,2.13,3.84380952380952,0.429073856975381,0.134881422924901,0.886363636363636
6075016400,"Census Tract 164",70663.12018,1.96,3.640683395622,0.581753935110826,0.128996692392503,0.964167585446527
