,Geo_GEOID,Geo_NAME,TotalExpenditures,TotalFood,FoodAtHome,FoodAwayFromHome,AlcoholicBeverages, Cerealsandbakeryproducts , Meatspoultryfishandeggs , Dairyproducts , Fruitsandvegetables , Otherfoodathome ,Housing,Shelter,OtherLodging,UtilitiesFuelsAndPublicServices,HouseholdOperations, Housekeepingsupplies ,HouseFurnishingsAndEquipment,HouseholdTextiles,Furniture,FloorCoverings,MajorAppliances,SmallAppliancesMiscHousewares,MiscHoushouseholdEquipment,ApparelAndServices,Transportation, VehiclePurchasesNetOutlay, Gasolineotherfuelsandmotoroil , Othervehicleexpenses ,PublicAndOtherTransportation,PublicAndOtherTransportationOnTrips,LocalPublicTransportationExclOnTrips,Healthcare,Entertainment,EntertainmentGoods,EntertainmentServices, PersonalCareProductsAndServices ,Reading,Education,TobaccoAndSmokingSupplies,MiscellaneousExpenditures,CashContributions,PersonalInsuranceAndPensions
0,14000US06075010100,"Census Tract 101, San Francisco County, California",56546.34989274075,8242.565138568876,4652.190950830579,3746.3938123647645,1040.6249161335124,727.3798651236568,1182.043797687327,448.8486516209185,854.496213397769,1441.1333205018673,21144.390920504946,14538.45750580454,938.6073404281997,1687.3771865703775,1305.4975605325214,525.7222509025514,2579.1506242788237,176.27372437534746,343.27239159536464,214.24407004629884,121.20789156886673,154.22523078952622,1294.4621379329694,2791.56745004049,8374.82344868756,1847.7454578719423,1331.5148642911497,3413.284333863343,1004.5378598613014,882.5619855305017,214.1153769537176,2295.8989066409645,2343.7235102821624,1383.585078995628,1094.613448457722,714.4144498008761,241.50411038451182,1430.5663955331759,305.4022509447163,1049.4831488312925,890.4821165793508,5985.619814702728
1,14000US06075010200,"Census Tract 102, San Francisco County, California",73151.85469519332,9167.564290162001,4910.36188671879,4313.715215546425,1147.0378546339412,767.8506702738437,1247.5162199717295,473.7632110051895,901.9257854667729,1521.0926838784906,26534.14672180009,18101.756378601818,1206.0808780780565,2279.1622438053982,1841.3117743964065,741.277663218318,3301.483269788202,187.78278784250503,451.87743012251144,192.9291585850936,256.0608833395037,171.3439885662682,1440.7891669848486,3639.258847004407,10627.655541245727,2266.5258264153786,1491.3203066210003,3855.585459544019,1183.2894466807634,885.4076390884127,224.5683219640734,2671.783468926976,2991.0467622527995,1561.5361776509626,1366.2302809681664,862.2460098435924,311.2521762317043,1545.5886869898736,325.2846238661418,1251.9594373225398,1242.634723522353,8830.237950135552
2,14000US06075010300,"Census Tract 103, San Francisco County, California",66562.53751961264,9394.029286110375,5419.464666337255,4090.5528521484844,1017.2295308159371,847.4753815509615,1376.845835944495,522.8769003348472,995.3796596742941,1678.794196317236,24027.597026801905,16226.877196650848,1051.8932388326293,2385.047402183874,1827.5250402876813,735.8103515437051,3040.8851668070943,192.74224498731584,630.2623004869592,99.62568196094144,274.7654922293939,158.86435655040248,1372.3311108026674,3775.2035997845587,10265.776589062523,3579.886373050526,1582.4838541436334,3621.5776707151335,1120.1805306341978,971.7261717948163,227.64165050906112,2551.0564054184256,2763.114966495305,1505.7190527727685,1281.4415049264796,847.7266962049355,289.22448572657015,1182.341726451214,304.21641856716155,1108.6695468957178,1129.8370610287752,7580.377087350861
3,14000US06075010400,"Census Tract 104, San Francisco County, California",67946.78460392017,9136.01414251004,5133.8722015889625,4083.253965332574,1063.4918028324003,802.7996098059696,1304.2997496335884,495.33072604973205,942.9454005878086,1590.3261415513898,24994.745094628386,17185.24699647762,1099.8559414839028,2242.4833999669527,1787.5239507291574,719.6936244171263,3070.251538106551,189.46208690919175,529.7545271603358,133.70679686167398,253.5355385471073,161.91456806143768,1371.2567403668681,3599.1409856976156,9941.203269496784,3114.532717523482,1496.6542336532148,3646.0196933157804,1112.7319892266753,932.0435638530358,223.71519377538888,2573.5644461300762,2778.3999437831217,1493.0093710358756,1279.5050049827407,847.806097967149,291.48562543646915,1340.1457574680198,306.53971168034934,1150.503193375339,1144.8845224646413,7791.823325900047
4,14000US06075010500,"Census Tract 105, San Francisco County, California",67687.7849914846,8951.843581782958,4891.870662255994,4178.147332295204,1088.6736177550388,764.9487897057455,1242.8548312159485,471.969390102524,898.5200964473013,1515.3744499858913,24824.17957988382,17034.367984330544,1160.4632027049438,2104.2907059173317,1727.847338894579,695.631693309077,3070.200802779091,185.3716373337468,426.7575736639715,156.70817603117737,210.88609918345938,164.3394604388917,1397.919398464737,3467.336981795184,9566.91108643953,2251.720674768769,1413.022129125142,3608.431878099267,1121.8031990983138,897.9242091798787,225.82630992861993,2534.7128916419642,2762.765642505812,1476.8319709312477,1289.9283867557722,824.7836338246269,287.9567155286005,1365.074146783807,320.4891438414887,1135.277466031222,1158.27623681467,8206.95406747872
5,14000US06075010600,"Census Tract 106, San Francisco County, California",51942.96774209986,8314.579697007066,4944.247156836809,3593.2394705885367,954.931937134334,773.0483519336171,1256.2513561962196,477.0204314885967,908.1068439686189,1531.6043719374466,19332.09623008868,13147.632751480978,838.8571814067777,1714.7717324617447,1266.9190259858797,510.23684416526726,2391.5005442456504,178.38980635794388,417.5477706117234,138.44221049351805,119.68599801023554,145.2329964707494,1245.689775291252,2814.4292886060716,8057.14867681454,2372.8151265812394,1376.1823198453744,3239.634848461976,959.803781959299,936.5036182648738,215.72609339685778,2194.418363646552,2183.452563787601,1342.9743207974773,1036.0540138588801,696.2378874315966,225.7172726774577,1163.7714251462503,292.7005386083611,957.2719758238425,818.9930824809767,5269.56888083445
6,14000US06075010700,"Census Tract 107, San Francisco County, California",43884.41721710337,7705.202680923426,4768.685256982863,3238.864747606642,901.982490542345,745.5714288181213,1211.6705493281997,460.0850484535026,875.8546412639615,1477.217873940458,16831.752554803745,11525.353661972871,701.2578249835389,1506.7869956663078,1073.310754386806,432.36337181774246,2004.5424860242006,172.84516990310058,372.7652394114422,129.19216539598816,87.13064794693439,131.55065632577097,1132.433591675256,2450.386687417598,6707.656967652807,2266.152515053727,1265.638462506917,2914.770291927818,845.0043499162643,929.914839374897,206.9517882677979,1987.5634149987372,1855.6760249873007,1237.5080944282777,904.3837495415532,645.0434374525305,195.91107523986477,979.4770771041711,275.55694430716915,877.6816862724068,691.5757643993568,4076.335434215402
7,14000US06075010800,"Census Tract 108, San Francisco County, California",62651.2621154698,8936.38371300258,5127.445768608363,3938.3413949574892,1023.2211709507271,801.7897938613977,1302.6799721306604,494.70012776765134,941.7607689859245,1588.3353033049316,22798.586930662586,15478.197678498833,1000.9621751337367,2181.380650734523,1684.5797707331897,678.3008839552621,2872.2931240436583,188.43808689306172,523.7865345661456,114.58610839028967,230.6511171155258,155.03355416907738,1335.3648453364692,3464.8489023620064,9469.942187966857,2839.8659209470284,1484.0998744607862,3514.4404834359934,1067.323527117482,936.0736293200565,222.08357603194946,2465.0937015799077,2613.4262105003304,1454.6850338089528,1213.6964557857414,809.7038835781674,278.7299243140252,1200.8518231088954,299.6542863682982,1080.4224116091734,1057.857533963504,6883.263504572125
8,14000US06075010900,"Census Tract 109, San Francisco County, California",68086.98710289648,9063.67244215491,5009.6416930776595,4164.307946905804,1068.823651803318,783.382900076979,1272.7552386876785,483.3315354320041,920.1402265530417,1551.8520338614949,24913.650562733597,17126.5927752698,1158.8883226738303,2187.4402655022004,1807.9016935970214,727.8539252816825,3099.750014641399,188.17736043789864,472.35631280396393,128.0752841926396,239.4519455038513,162.85968479955258,1393.2385257129527,3596.8526488690054,9622.887701476191,2587.9919713521303,1435.2577122687235,3588.589396070628,1118.32422285582,915.6616707761154,227.0927541761338,2555.1390516093593,2781.498638661694,1471.5651517270296,1295.2335462600877,840.4242825116482,293.4725055964283,1300.117005938388,314.2518456208128,1115.0500898001155,1176.280298175994,8208.841215107832
9,14000US06075011000,"Census Tract 110, San Francisco County, California",57520.88920309979,8630.330242213347,5004.0123928892635,3810.675942339039,992.5632679497668,782.4569715206453,1271.3719514808295,482.78218878598653,919.0922779556965,1550.1097530397005,21020.82190938129,14236.00472741707,939.1434866193301,1967.8066055762386,1505.1029130831914,606.0778626445837,2654.7622038147174,183.87299211864752,457.9850392660484,117.36340657086198,173.34174426505413,150.22600132814893,1302.0824469917527,3183.7023449988146,8707.835679786118,2408.375095180682,1415.5284802704762,3359.600942612376,1019.482259963148,929.5220073861317,220.67816495676664,2332.108875951914,2414.9754139739007,1397.2726586303438,1138.9491272233909,756.6897030758485,256.05483301411084,1140.5079750729717,299.02803575943403,1009.2363599230937,959.0786610338158,6216.080025809285
10,14000US06075011100,"Census Tract 111, San Francisco County, California",55424.97679184431,8195.020848339513,4666.173267127928,3714.9185760599553,1006.547359411156,729.59343139153,1185.5882066418744,450.1880048731383,857.0572454771115,1445.4658705896466,20798.33408486971,14425.557091227634,958.0392546356459,1688.3134810965341,1366.7658494106274,550.3791634774001,2547.0869115716096,177.77828081159828,347.97036761438596,151.2964285872679,129.33433855144276,150.05663018949508,1279.3433181223154,2858.260047110145,7820.139368332561,1941.9452307359693,1277.2773307643645,3252.609402524559,976.0374133658419,892.4154905227933,217.04892203745194,2263.444639806206,2289.4969893997145,1329.4378032114244,1083.1051920304822,720.1890983582625,242.2280685560655,1255.7034043442309,299.5792136765575,975.2698495677346,906.6041287227976,6019.294004987096
11,14000US06075011200,"Census Tract 112, San Francisco County, California",65206.02022695823,9125.00672632918,5201.283971623662,4056.453089939891,1041.7989873229803,813.3438897032293,1321.4313390318882,501.8313892677958,955.3230023117483,1611.212000838756,23936.285709012136,16234.658937777835,1047.4398199020104,2261.5800258278673,1728.4545438157663,695.9525454057598,2932.9733952496917,188.41246731742842,544.4554627385131,125.32074700887544,233.57865239525393,157.76170341458615,1351.3827717599909,3575.150914512404,9755.803589716073,3079.9438125887737,1509.1548223740192,3554.1284693192065,1099.7841432420946,942.2953696841482,224.4389483588466,2496.8907923512365,2684.6269926050454,1490.1416792648413,1262.701132256922,837.1887214715497,278.9450080738736,1190.5290787978922,309.38924607008875,1137.0305816361933,1115.8322534637744,7507.470001153835
