"","CT.DENSITY","CT.AVGINCOME","CT.AVGINCOMESE","CT.SIZE","CT.SIZESE","CT.ROOMS","CT.ROOMSSE","CT.DEGREE","CT.DEGREESE","CT.OWN","CT.OWNSE","CT.VEHICLES","CT.VEHICLESSE"
"93",24009.61,134438.020833333,4455.80561566997,0.8421875,0.0505649991768649,4.10479041916168,0.131601430161546,0.621354166666667,0.0245844715528333,0.365625,0.0352898394811829,1.16041666666667,0.0848270270086992
"94",20790.99,100408.309455587,3400.12509461398,0.515759312320917,0.0509896343911051,4.14763231197772,0.133056460270948,0.45702005730659,0.0228482507170705,0.236389684813754,0.0424392916848344,1.02865329512894,0.105067148487765
"95",42943.04,126427.756653992,3690.32895804444,1.13371356147022,0.0645154806592964,4.38222763237979,0.124546206496765,0.608998732572877,0.0222971546669722,0.417617237008872,0.043971030561508,1.17680608365019,0.0825882154093873
"96",56040.19,99144.1558441558,3160.43944397299,0.680519480519481,0.0449443202617033,4.46650124069479,0.133127807273429,0.408441558441558,0.019008579869985,0.222727272727273,0.0330425612623675,0.740909090909091,0.0963011085305551
"97",41522.05,138872.289156627,5678.60401181318,1.0421686746988,0.0731253642732632,4.73473917869034,0.117329508138016,0.568674698795181,0.0297679450156149,0.414457831325301,0.0456162775251966,1.14457831325301,0.110221364572955
"98",29094.79,124583.972719523,4119.6487932474,0.996589940323956,0.0765902901388263,4.84603174603175,0.11814210891022,0.490196078431373,0.0229345231353397,0.392156862745098,0.0562818802023686,1.34526854219949,0.10953735289999
"99",20131.01,89657.0660522273,3589.12055240669,2.79723502304147,0.136364014001424,4.96708683473389,0.126855872114054,0.203533026113671,0.0158339770905562,0.775729646697389,0.0551841270422364,1.93778801843318,0.11521573824218
"100",24770.04,92603.1613976706,4388.99670966556,2.4134775374376,0.149010595525506,5.06795366795367,0.145871371738983,0.343594009983361,0.0285407297823718,0.818635607321131,0.0648269397703954,1.79534109816972,0.139883231413495
"101",23465.27,54290.3746770026,1572.89473554197,0.803617571059432,0.0456919978833729,5.0448798988622,0.158789525402632,0.156976744186047,0.0100405057408196,0.290051679586563,0.0328069686270732,1.05555555555556,0.0863551145634388
"102",5614.611,38952.6659412405,2440.40180033656,0.282916213275299,0.0428426257708537,4.5968992248062,0.246690383965527,0.206746463547334,0.0281070863471798,0.114254624591948,0.0343866800176854,0.852013057671382,0.121468473337566
