,Geo_GEOID,Geo_NAME,TotalExpenditures,TotalFood,FoodAtHome,FoodAwayFromHome,AlcoholicBeverages,Cerealsandbakeryproducts,Meatspoultryfishandeggs,Dairyproducts,Fruitsandvegetables,Otherfoodathome,Housing,Shelter,OtherLodging,UtilitiesFuelsAndPublicServices,HouseholdOperations,Housekeepingsupplies,HouseFurnishingsAndEquipment,HouseholdTextiles,Furniture,FloorCoverings,MajorAppliances,SmallAppliancesMiscHousewares,MiscHoushouseholdEquipment,ApparelAndServices,Transportation,VehiclePurchasesNetOutlay,Gasolineotherfuelsandmotoroil,Othervehicleexpenses,PublicAndOtherTransportation,PublicAndOtherTransportationOnTrips,LocalPublicTransportationExclOnTrips,Healthcare,Entertainment,EntertainmentGoods,EntertainmentServices,PersonalCareProductsAndServices,Reading,Education,TobaccoAndSmokingSupplies,MiscellaneousExpenditures,CashContributions,PersonalInsuranceAndPensions
0,14000US06075010100,"Census Tract 101, San Francisco County, California",50995.89744688688,7461.784728590022,3751.5123522562903,4062.392214340195,843.3937066053851,595.0314365980221,886.0741475978905,442.3518595770287,687.6142013868988,1141.106812229357,20178.491073664478,16718.881683433527,1435.9087286562553,1538.7116442490828,882.0763537683994,626.2812116186668,1622.8961033244436,138.945674285706,423.5050565858027,46.54551115871256,194.30899729891695,101.56229834145945,797.9046220640381,3127.1823252314,7203.881219936185,4671.178895699707,1304.4346807338356,3685.6609561184055,1164.8286949603287,980.0507103283538,174.32261061123447,1635.0342104752897,2839.012345945169,1775.9795646557636,1251.3441551076903,606.2401797045117,218.40609295305737,299.8986358361631,619.8063231082017,1371.0626132247603,1668.6123848089992,5141.069389006653
1,14000US06075010200,"Census Tract 102, San Francisco County, California",62871.811266323144,8102.4612818761325,3934.952637089438,4357.597125767435,1081.2320334576748,624.2075511226453,929.3989650083796,463.94469806212754,721.2748264922546,1196.8766441797343,23827.489565457498,17971.815853988744,1727.4053044084926,2078.8613291493857,1127.4167750695804,800.2741682483662,1962.147416825819,147.3675103919744,631.502048402849,72.02764288312692,339.3668889840333,118.44972802103338,877.0224196278524,3762.8141148603654,9026.347031742924,5515.408594053328,1384.0401552533904,3796.995676440156,1432.2110699070597,1132.143890744331,174.037315880494,2159.976006080913,3554.5698490878517,2015.4366373848793,1541.6834550412486,717.1258064303922,287.0283284415159,411.74044272456774,397.19566695106545,1484.472595876064,2162.007543356233,6553.059451775608
2,14000US06075010300,"Census Tract 103, San Francisco County, California",62195.132542243824,8511.86259140318,4255.1742575735325,4470.840398498919,955.7664140459884,675.0080629336666,1005.0163983827795,501.6928475710271,779.963647338695,1294.3027020070242,23468.925557543495,18128.686248921127,1577.1017582748534,2158.8869010371304,1142.9877506246214,811.4394660004156,1957.5086253264053,146.11161865260232,564.0326975868658,60.03933453995606,227.92906237286755,122.96458993988689,907.4129720870801,3784.6297541198096,9085.394403143082,5723.886843386846,1476.1438350480566,3795.564696540336,1302.937237150843,1042.0557513584924,176.70977225454197,1991.8488915875735,3303.337595986888,1939.321302526735,1483.0611013375392,712.0054884774557,280.2032791066031,419.54163097892337,491.3718800488373,1522.0794329577313,2066.5263541399177,6239.736897150267
3,14000US06075010400,"Census Tract 104, San Francisco County, California",61689.01379113791,8187.744787036975,4021.1396842662575,4411.866149648389,1017.5807646303538,637.8678072992727,949.7510110366104,474.11145701726906,737.0617071855321,1223.107932456977,23671.412118176846,18077.835439673378,1693.850398122379,2003.3800308845614,1153.2422266625792,818.6637272874561,1976.9374908002837,149.48711068058492,595.7207275992903,73.92723788736663,266.30432239161973,115.81358191849407,889.0756285487438,3735.2906119534828,8779.11984393431,5239.540944440793,1402.0558512892178,3755.248124991128,1390.2319764139936,1109.5487248187312,177.51731230630728,2094.0843127002354,3513.2113605284458,1999.0394248333023,1554.96674362078,696.5594966244529,270.6319018295081,401.3399962052381,397.08037581973423,1503.8022233669822,2103.373576151849,6518.697869121521
4,14000US06075010500,"Census Tract 105, San Francisco County, California",53609.23609916834,7321.54560823664,3552.759022821376,4131.6733888491335,960.128812838975,563.5096324321585,839.142757870187,418.9222763817681,651.1854679353185,1080.6397932067518,21340.359005695827,17452.61235229522,1589.0482799823671,1485.6576741219867,940.2256273687129,667.4699480602931,1671.2556570449788,140.82512255238146,455.43409647158245,52.58993132345686,250.6418678560404,98.98431924196309,795.9047429822647,3209.0020249118284,7410.736614708425,5718.2204207324185,1254.2571495923585,3675.6093651491337,1335.3698009931097,1081.3227585742245,177.1211247223643,1801.684809049583,3102.830902750243,1858.30483642596,1350.0362784720048,617.7755196024106,222.75728480192112,291.05267393203525,504.25343713987206,1388.4547617853736,1866.7657852171726,5893.329879121168
5,14000US06075010600,"Census Tract 106, San Francisco County, California",44781.35306626524,7087.730662010082,3655.7953953327474,3817.927745896968,782.2063683288119,579.8202384515034,863.460609952651,431.07281856212876,670.0689941490364,1111.9932192210463,18037.573057583053,14921.194611453313,1300.1325457941941,1422.7277684455532,780.5494290632026,554.2549518843704,1518.1361291093317,146.6087026373151,482.3351897135299,50.811361531065614,153.08392074258614,96.1934416800606,749.9252811096735,2853.316187296071,6220.670724965623,2564.487451842137,1221.298822093712,3588.4762749640504,1055.8285657912472,949.7333059653861,172.08844237810507,1455.6392879905409,2630.820293164971,1719.1569721689143,1124.400575567398,559.9319189927763,190.0493101667484,286.05906074870194,590.396060289224,1262.7631426774997,1406.5653350295975,4158.456559548586
6,14000US06075010700,"Census Tract 107, San Francisco County, California",40183.36633988491,7023.335331259638,3800.740988773715,3635.461711525536,663.6155735450045,602.7829641356701,897.6849744362424,448.1687280801601,696.623430208997,1156.1004339647222,16225.039403071833,13438.869655764625,1161.7706854300084,1373.369268819723,685.7013625343371,487.0242985991478,1497.4425887212637,149.00748049749149,468.092584276301,53.2778459451262,120.2386631060394,90.58644815674865,749.7801657627462,2711.8781152028096,5771.778501311626,1604.8901838651582,1268.5449051168844,3594.998260370966,865.9933352621813,852.1136435358775,166.2645664127124,1302.3526372184222,2427.1400415784738,1657.1418969958786,1036.9643126479914,525.7958015089157,175.78450926652647,290.3017813350498,660.5195109436734,1222.9488863459437,1147.503183448439,3362.9249732113612
7,14000US06075010800,"Census Tract 108, San Francisco County, California",58887.939772123544,8043.321007631657,3990.467569828117,4291.502792293916,958.9294719211362,632.9971805013602,942.5020515257255,470.4929572965071,731.4460564372093,1213.7734874931218,22629.713863640154,17734.993783057627,1581.4024649379699,1983.1852794166373,1066.045982138554,756.774070993493,1809.7856617701216,143.70213349915645,541.3965441265326,59.21729133235325,240.55004198304422,119.42967358055719,847.6849735126908,3530.292079395426,8313.509719229054,4894.34729816533,1360.4438104870442,3733.9788939173322,1313.6460343922372,1050.2873637697335,175.72713500152682,1911.1596488498742,3199.811558757058,1896.9543573313033,1413.723512217682,683.5779546797346,263.92340071143036,381.63222400237225,490.79275460855337,1446.24665495867,1974.0824707530237,5912.669917966834
8,14000US06075010900,"Census Tract 109, San Francisco County, California",59559.3387230938,7818.893130349408,3776.275568956352,4296.535682957507,1034.349862926227,599.0165198665358,891.9238705813038,445.24661069602786,692.1847063314743,1148.6119458703001,22963.341435410402,18229.242098877745,1625.5981121332766,1867.4602795892924,1053.6973022450882,747.9314824609986,1745.647411737966,140.84662694929887,529.9358750809889,51.91247863903445,279.4357654989359,117.1004008916207,823.2719883739568,3479.977730262831,8298.10804690156,6321.621877309663,1301.1196396219996,3726.6208236670195,1423.5720329384453,1101.7241415468395,177.1861115714035,1938.1984144806559,3210.4770185335433,1897.4098901386335,1399.1677115189088,684.9187017508302,261.8784950285806,349.73227507790256,498.5891349723647,1429.8405415055797,2098.8419736925352,6289.646922096888
9,14000US06075011000,"Census Tract 110, San Francisco County, California",57781.78381353219,7952.957660504758,3878.1860752161183,4432.1197704329925,972.074976359079,615.1625241936115,915.9912552385686,457.27402642361704,710.8431265101781,1179.635987547575,22590.636888754507,18337.611858407083,1531.685746458572,1718.3145435888557,1082.0736791109964,768.1629617467746,1767.9899521221375,146.48003019152281,514.4740633747117,48.206436108025095,185.64399813850102,110.70220345537271,845.2964139364046,3458.522475024394,8040.917846423226,6825.785315858697,1331.1043639898612,3666.803912617528,1391.7342352955143,1091.3507235090976,184.36603862817526,1828.76552939384,3118.6686935789858,1875.9788541172816,1386.2400125284494,654.8947360933709,233.6048567510577,325.2268734397879,508.8978481334239,1456.4689406417638,2058.211316543735,6316.632927843958
