,CashContributions,PersonalInsuranceAndPensions,TotalExpenditures,TotalFood,FoodAtHome,FoodAwayFromHome,AlcoholicBeverages,Cerealsandbakeryproducts,Meatspoultryfishandeggs,Dairyproducts,Fruitsandvegetables,Otherfoodathome,Housing,Shelter,OtherLodging,UtilitiesFuelsAndPublicServices,HouseholdOperations,Housekeepingsupplies,HouseFurnishingsAndEquipment,HouseholdTextiles,Furniture,FloorCoverings,MajorAppliances,SmallAppliancesMiscHousewares,MiscHoushouseholdEquipment,ApparelAndServices,Transportation,VehiclePurchasesNetOutlay,Gasolineotherfuelsandmotoroil,Othervehicleexpenses,PublicAndOtherTransportation,PublicAndOtherTransportationOnTrips,LocalPublicTransportationExclOnTrips,Healthcare,Entertainment,EntertainmentGoods,EntertainmentServices,PersonalCareProductsAndServices,Reading,Education,TobaccoAndSmokingSupplies,MiscellaneousExpenditures
0,1477.5930981649283,8617.31082142287,53174.80514629365,6663.84853711358,3522.5872401699776,3429.1751232429874,735.7284110534933,533.1997679700102,722.7894682705759,407.9383386511652,855.0198851911078,1339.4024892579278,22252.13494220208,16549.946307590988,1469.4266839929137,2153.0749354413238,1039.5471034980906,431.2752170314191,1463.5838584625203,123.33621169138138,536.04909220604,34.095708496487106,229.5020571922376,107.56494650543733,595.1868868884909,1677.1195885331906,5692.727332400012,2552.2596059438542,1590.3374347353215,2798.3598219695305,892.1822879405507,902.1147372467767,203.62439050829914,2896.5882327793497,2431.600081460506,1629.944429329855,1024.6019536368608,714.6076342034933,157.06907099200384,2060.185139877643,162.3439670252653,1038.517493892595
1,2229.4138598918753,14324.794255493627,66821.5604731209,7265.4755495537975,3604.453109381572,4204.819134507596,767.1975078908605,540.6086039447148,726.6448922091054,414.48234876956525,866.5373109545138,1352.4953009088142,26971.21022354893,20619.95282506187,1656.5027358814473,2706.9714465888205,1378.76392188039,582.0495993019789,1873.861963759436,138.5077951854096,592.8238853115625,48.09730536320185,268.9183393816489,119.6148265038087,747.4982894630493,2035.23341689249,7142.416328239649,2972.6883417332647,1718.2522130721918,3098.6702475306374,1183.9492978980709,990.972558946951,203.8996821769402,3327.9309126167814,3163.0810912407724,1855.5647007499063,1385.5257998492539,776.4621373625907,188.23426248188784,2583.1668853260335,163.48312788724792,1172.7242114633718
2,2071.58055169118,10057.55490209185,63145.913096925375,7600.355973683345,3975.975652471894,3897.7537843850955,743.7662369682134,573.3455761830521,800.5015664421655,446.3911257565386,918.0694449344907,1426.283211680286,25522.231510402446,18685.10887772976,1575.1823716387698,2857.741739531985,1439.4824878409784,589.8360913161848,1782.6899139758484,133.21831187764525,563.165568723319,49.81916132650631,275.08574075268046,114.45571476614288,706.5490493475656,2075.3438479211236,6871.1361850234025,2781.7388144720735,1778.9551751872805,2981.251941523856,1065.6480281282595,931.1386278632003,209.19074500368876,3405.9274267264727,3041.487583326066,1857.3340137671826,1292.03781319334,792.7125716986747,177.0457166720342,2111.0565869509405,163.69086091064173,1134.9389899618745
3,2040.9977415001438,11787.223191189467,64785.46029105272,7546.045516589119,3887.083131779059,3995.874151716646,754.2380608876596,567.198532728443,785.3373430040498,439.32737928592024,908.384675727445,1413.1247002077555,26202.036803544088,19562.814669428277,1590.3985745058155,2742.804197618894,1375.7716941880888,571.0305444379522,1790.7305339081745,134.44856644214263,575.029369594909,46.84251172095746,267.6076538179217,116.05160161504617,713.5872275959368,2066.7263782538594,7098.456617331546,2816.7933433935887,1788.5570496920884,3055.453306580455,1095.2039789785472,957.1933917923847,210.5945755328341,3308.9970439557055,3064.850666622797,1863.4848654850607,1302.0880134953384,787.0534164231234,178.08708090927814,2225.6102632836164,163.81563998930005,1140.3674405483077
4,1919.372624599462,13658.48747725923,61547.98552189344,6888.355169922332,3448.4688698085506,3965.6210764235543,765.1714537390006,526.9250160480717,700.9588315979473,401.21919679527184,845.035629524907,1323.113516945659,25600.089079235793,19782.83377967546,1598.6965989363264,2386.253581356559,1205.2765439125603,512.5940962762746,1730.5298674738965,134.38072946755173,582.7279597797018,40.92066404039994,249.1802638743923,116.81470161940267,697.8979313346692,1866.0826201280631,6383.377903506031,2870.4330791838674,1637.336424303641,2977.200293703002,1074.431594739445,972.1210336791779,206.0526032361153,3064.9058927459287,2889.4666439301786,1763.8962765995548,1263.0323938970607,741.850655719136,178.17143613566512,2471.913352732539,162.36667077459282,1122.1102488297436
5,1305.880478999012,6229.952893936666,49029.974286658275,6949.159967768081,3901.837977997956,3095.1593067304825,716.6205694901264,567.9345402325441,800.7774018010742,441.0372862854276,909.7043471212086,1418.3167528580843,20536.952443849383,14510.842196529667,1349.3918219188915,2230.8379648326963,1048.9444485168785,424.0511708714563,1366.691478439452,117.9072053189952,504.3985424503161,33.96381884442888,231.67648780334758,102.00672056049395,555.6647349482308,1686.7942670251277,5372.552792926535,2334.3653052140785,1652.3178806130586,2686.7108728075127,771.6291486424147,849.5648375560553,210.30424517260147,2910.6587596027107,2270.8124131288596,1635.1682972374679,905.1516030798529,720.2498452102926,141.06749721087442,1568.3245611268032,162.31391727245185,993.7025921122183
6,979.3077700548274,3913.635498886495,40187.43206854917,6270.312977718236,3679.618776558248,2582.1448101433502,688.5230282037137,544.9188500647219,761.9388173671788,421.3737967437264,873.6323299576392,1368.1401079685154,17655.78938044845,12335.342474237708,1217.6054777357317,1931.7494401229562,856.8893314883933,344.71475074191187,1147.8005219077302,107.91875084379735,466.8107234501957,28.008825717748085,214.25446671198648,93.92432618785689,470.77508515732524,1412.786969764554,4329.089821379093,2071.4871630484863,1497.6513405550256,2434.38205131244,611.8697897538063,777.0896131227547,200.4611796817041,2689.384239795782,1838.7902825785852,1468.6742833504188,708.6980684813648,661.9783383602888,121.71967781767363,1314.316980141775,160.8363852833388,905.0443672114317
7,1839.4973330309895,10968.493047808086,61422.14759123928,7699.782034886741,4092.4858401131337,3784.3080008270263,751.881438299597,587.5462583906988,829.7580297554374,457.5625870194774,940.365438238418,1459.7449272823815,24899.094282559174,18110.42319054031,1503.940550826603,2667.337426991417,1328.0119404250577,546.3329714693805,1704.0156925939996,131.4577367637215,558.0984245220803,43.74751825545929,259.8752798078057,113.01602157046707,684.1470978025457,2054.2699377103713,6741.293324508252,2684.0668435664275,1827.1972592905836,2989.478032772106,996.4814452727345,938.6486418815784,220.0156453954339,3195.997473865873,2916.187785875915,1864.2825238474386,1199.2614071181752,783.7360473779867,165.6369058632627,1890.32553949277,163.44634596840933,1105.622743800075
8,1901.3637857560102,10167.222299777073,58910.337943254744,7009.372342898819,3615.3644433791014,3779.4695088295307,745.6041531205271,540.228109095171,732.2397882808802,415.2651599191311,866.0161729396038,1352.6760861608352,24186.372015400935,17968.503897303617,1566.0547900617073,2518.184045422008,1269.0364103024729,525.9004613468373,1679.1668410685425,130.98819744871702,557.8313670279277,43.614543925671214,255.97880572879973,113.10743762026566,672.743182445918,1870.7929459674858,6187.117655210793,2771.5436179637213,1640.004644009266,2884.1489667178025,1022.902417484799,929.4488889179949,203.44791027358784,3196.6443247541274,2804.528393404645,1742.96745046504,1217.1495347358145,752.2213393919374,174.36207086574382,2257.4581896976424,162.65637657067595,1108.1449510756922
9,1606.3014461187379,6956.28245822135,53440.87750630548,7193.546167274094,3945.077546473442,3365.7629625085747,722.3323412890549,570.0312830045846,801.515816065673,443.94467475955156,912.9557520546707,1420.8605718098213,21984.906522006655,15562.693908341309,1437.6954259310805,2515.144141251658,1225.8592259495063,494.37075432301293,1520.3045134429417,123.49164907719872,520.9445323282492,41.20794077087863,251.7218881578164,106.18294281778336,610.110204066238,1829.9509671964518,5787.51125553866,2505.4396709480106,1682.1705123661345,2756.9684353372268,872.790051240837,869.763155102502,208.08656510754017,3158.4572323629673,2544.045160919997,1710.3718950371124,1048.0452668106627,750.803139295709,155.5211927423824,1751.6943658357834,162.74753787537134,1048.899232170344
10,1284.977382187809,5755.081618290771,46616.8743139447,6491.471019355757,3599.3381058863683,3033.7353111862362,711.1556852805808,537.933415025312,739.3385779789182,414.1547134902949,862.5487378145393,1350.4982441091568,19892.644902395656,14252.5214628584,1366.783017745237,2101.698658099758,994.9768516334419,404.24144155581394,1329.0992609544378,116.66398152385528,501.1244172625009,32.91205072082193,226.51616847813204,101.31159371900954,540.5814452071791,1563.1343238535555,4912.819951551938,2354.7531690552646,1529.0951204055891,2588.1651787714354,758.9479100305474,835.8737401758942,201.67830286944755,2858.8335686150194,2169.5054531996443,1552.0360692397953,892.5343448965657,695.3254894906448,143.24794477566564,1700.7642811496962,161.45084588550122,982.304742714982
11,2022.2284466157676,12747.741271337127,62820.808490432995,7435.089305249464,3826.5991267229624,3959.875928668401,761.6677988730681,562.4173774118462,773.4113247556791,434.2836171332018,900.8479790959832,1402.3805936757005,25576.794450732632,18999.61766817863,1566.1391518457115,2658.784629554433,1353.951379745914,564.5716166751013,1785.83517271763,135.23357043101046,573.4368467278994,45.828105750572895,263.3969299372494,116.24804694793494,716.0712120860119,2029.9327309797332,6644.739089087256,2832.031429148701,1750.4191380966286,2994.2628392448946,1064.5223772923634,961.1940239997526,214.3316916272222,3227.7473169080954,3017.2568243934284,1855.700792907287,1284.928126561745,775.3880834167545,175.5954705469195,2154.658724002502,162.89092054543414,1133.577381632089
12,1023.7002220184652,4733.490633413621,42892.51623554965,6589.420517286763,3847.722936866005,2715.504807145078,700.2084007935757,562.9333282043684,796.8081752439174,436.6642568344202,901.9212351371809,1408.994624341078,18739.034432310535,13198.766039397355,1236.2595038012248,1988.3517257901026,893.166373373777,361.02239363543475,1202.1721797679734,110.6262290493829,480.38794825265643,28.48766055896444,216.48754866034594,96.31686273061749,493.16168022116983,1512.1623860363418,4664.400300809762,2120.485043445082,1584.951116196585,2525.730579915632,641.1326898961617,800.7423673440932,210.16790005232838,2686.870237387549,1963.1235873091002,1538.4703260022534,752.2679493091796,681.1355064305604,124.37379935046779,1312.2413765540468,161.23867630916993,922.0936596129467
13,760.9458335066117,2833.98885649894,35284.25143682836,5999.3033905645725,3676.145285828041,2271.2221296644234,669.5012328502146,544.6222629139155,768.9370634881885,421.43407227891663,873.2549656697612,1369.6443919155433,16087.3987169618,11164.221969917548,1125.2718448590297,1715.2531949310494,730.1034288343336,291.69985653975954,998.6040549899326,100.62460431613698,442.5379283073149,23.20374832825353,198.36472895669388,88.28733885782042,412.84752491396057,1272.6991784365512,3803.828091146673,1877.0182506629797,1447.359409186105,2290.966623865811,510.12125903456,728.8219910923399,201.44262155058303,2481.5947945391376,1588.2787823083563,1374.61306198297,592.202617109442,631.2230242973425,108.25955378476495,1111.3524256514083,160.08124755619227,838.1327980826527
14,601.589343376615,2828.911991787341,31339.087536000356,4953.193844444225,2921.014129168953,2110.927928617712,668.2978613589553,471.281644832931,620.6039898495189,353.8009531081413,757.7522853359415,1204.3438735673587,15085.169689488297,11241.32832354273,1110.5606731924793,1299.2147378325458,525.3490981919844,218.61380784900376,871.6598649687901,95.94544103399507,442.6283508527887,16.820010585035366,171.1264234113437,86.16513719308232,367.1068904683618,1001.554600770434,3273.5505164040483,1823.4887962438909,1228.5751915448193,2202.4828677811274,472.6014413556577,726.63448294117,182.35861605493025,2159.288837300752,1328.8196776093628,1196.9405079478008,507.4340756131814,556.7633971075624,103.08169872116368,1338.5042219020536,158.63284614379643,791.5338293383791
15,823.898905053013,3794.508875577535,37166.13790830602,5757.5501390472355,3357.648570349536,2465.4645911371545,686.4599407926986,515.6759357016298,703.6387336806869,393.5123960455207,827.6397757367951,1303.8445589676567,16941.702202212753,12238.915153885084,1205.43202363887,1610.1021628162907,707.5840939625454,288.67385541266736,1041.224162340682,104.18630735167174,463.7517736488857,22.34941200220896,191.98171701075117,92.03924706977801,432.3123537846085,1250.1154831803944,3882.4197342237853,2022.435182335249,1389.6211854142439,2349.386726912767,567.6886522212385,767.1554711964017,198.75714990625235,2417.2852032765118,1656.541616261452,1357.3313855431309,650.8809441597456,623.4766825389678,117.99828271232482,1391.8304657400245,159.835220491164,863.7397534327466
16,845.9691978394553,3490.7617995810338,37856.568404160425,6195.982476315149,3717.686765855788,2448.8123968161194,682.2578802750668,549.9224953278912,775.9743030391284,425.35444318735034,881.5430587697977,1381.2027206131822,16861.07388687119,11726.83091801124,1177.890663511777,1766.8454908287595,776.7660849235967,310.7096925701798,1059.1765860638034,104.16289818783325,455.2106186045916,24.303727961724558,200.37510575222015,91.17396083100449,437.82763080072266,1348.0648419456004,4079.3447892691916,1978.7906018160206,1487.9618177864706,2373.1291132396786,560.0716790203433,758.6125810020571,206.00407857698573,2525.6181730577687,1708.7430179138844,1418.8665780005053,651.7788141228173,649.7251702541583,115.41385154717332,1218.395178116205,160.55178323753339,868.6769337043283
17,1351.6015502646626,7506.907623174758,48178.61057998903,6234.131990958005,3332.043787738962,3178.3894637239027,727.4507489868998,513.2892605042287,684.6569277702479,390.5822949937456,823.7094943579737,1294.3395242580689,21065.082012085502,15794.353257500068,1406.9386679501574,2024.6678720789369,966.1001508992716,404.13003219969687,1393.1257105324469,120.37649376249063,525.0324568784827,32.551077109225744,225.93477759355895,105.11085253754462,567.953114864282,1536.8203017360465,4889.796350960479,2472.3647054177745,1479.7311876712688,2626.0259294641237,801.1419754091639,866.8163330911075,199.58353179228808,2788.005078051549,2246.050764540761,1558.7617784964286,943.0123998845175,679.6142985758794,148.8128418278132,1913.741813578255,160.65690085675922,999.3109785880241
18,906.4149607476263,4121.954042291708,37934.72503781399,5599.561602867754,3180.1184977891567,2558.0187652101627,691.1142704949317,497.0503405704881,663.6769493525234,377.0199574595564,798.2751329429066,1260.3133485178746,17217.556326634534,12577.77308307792,1250.211134999757,1637.0764104220063,731.0360074377106,300.43833871677043,1085.1964685633473,106.54497504344864,471.8170549504089,23.838121100194506,196.36887380596005,93.96290669790842,449.19057679264637,1240.723460293353,3876.8323341817922,2113.108504066371,1339.725226914609,2355.6975320672404,605.175342125015,780.125441266394,191.7903186598039,2481.4487752153623,1705.7584957510333,1350.9243507897197,690.1373508039566,620.2839876820932,124.39703238430954,1563.8337456830425,159.61649443301891,885.821254267123
19,1025.3741352887384,4910.933475164424,40327.66009753704,5693.0875745904905,3162.1572035320305,2737.845938357063,701.3236647733119,495.4427445971353,657.180905100416,375.29280920727,795.7015399115841,1255.7849813819926,18288.6170040344,13563.581247398524,1310.2987353082653,1708.2237875484782,788.4521761100432,326.1460258736426,1166.82793020294,110.57353532077012,488.63913929634214,25.945912039838568,203.01150732787988,97.41790925500541,480.5749940264367,1302.9528209620278,4018.2355177038053,2239.3976049817697,1350.9495049054833,2398.965271508326,657.0183057667867,801.3705830460411,194.3309227051243,2541.3144742180443,1847.1846947557117,1391.6974056075385,769.0516952297127,633.3664685183036,133.39658094664586,1711.6245519049153,159.51857183049856,915.7404570441166
20,956.2167118256845,4655.710390045788,40746.49034677655,6049.30237661669,3459.9243617849916,2684.1869422738287,698.4936351637624,526.2210615120349,721.2072726517264,402.6602326999549,844.1914375510587,1326.8388460924523,18251.732156311737,13259.06620630335,1266.8682551395277,1742.6093676370845,790.7000403933455,323.1364654137543,1138.8366607072478,108.84528114052142,481.36228729772927,25.015531594967737,201.28260212186692,95.82624047771138,469.97399080581806,1364.6647382265703,4250.66512384171,2146.4332097550678,1451.8145829684688,2445.1008078651653,631.5850224676913,796.0674810454719,203.67334439835835,2523.2083211328254,1841.8409725248991,1431.203949735959,737.4279666495563,649.8230586936618,127.06284287994627,1502.066436623107,160.3518811960864,903.1202366390281
21,740.724470809169,3771.296940428414,35370.09379223264,5422.319331457088,3139.5466933169164,2384.9929134393574,686.2105717553301,494.90275208678787,662.4157417200616,374.11437543839793,794.9289448747649,1257.4792636316847,16401.690600477785,12076.569174263643,1189.175640008104,1444.9917377325987,624.1829103101052,257.6202895299778,980.7930404195239,101.98799508836478,461.11088214518406,19.50488538979091,180.14614532936423,90.79529444537962,410.7940650518328,1150.5252407937573,3662.3257647271394,1984.4958788600504,1322.1266917442128,2312.438721276483,543.7795940846717,765.0145203701953,194.53879763520615,2277.939602100676,1541.7310468882674,1293.0519708339573,607.7309061900861,597.3241001148032,114.55429955413959,1443.4907811963938,159.32586374904557,841.4409772140756
22,718.52272013385,3269.515823526438,35451.472882545306,5596.929657063313,3305.6610248970715,2355.379427092396,676.6591610398563,511.09991979540655,698.263792187673,389.20496288570956,820.4819187426817,1294.9594186670429,16395.659231638812,11943.326779314108,1187.0027486020347,1471.9443839704866,634.6393280066031,258.13537058760517,960.871969563123,100.30266410737671,454.92542894186545,19.46266973901612,180.21828047186318,89.50085250757292,400.7269870079883,1176.9279831915971,3750.891170401506,1941.7326971937216,1363.8204273852634,2309.4997336097695,533.3638248883439,748.931015022047,198.14274610000777,2294.0371118343674,1540.5145811343646,1295.872851787842,604.2147400129351,609.5895361249223,113.92766471680446,1379.2827142370306,159.90452384793338,832.9011686252059
23,619.5901978787972,2555.9221779800023,31683.865173415605,5259.247103339438,3177.992394127486,2111.699425637659,662.7704001309183,496.8508404682952,673.2017752853454,377.30374243110197,798.0822640724676,1262.8262363968674,15013.86789801025,10843.102033412835,1105.6187979888814,1389.610259722106,571.7525001415769,232.9327666537425,881.0921113794552,95.808212624894,435.3886783051616,18.006339174787048,176.00306867204688,85.50394236524215,369.179873142045,1064.7540411835898,3343.753912934363,1807.3357657388303,1288.9904655948528,2195.1732362401585,468.15086408626195,714.7827225674342,189.53105722543447,2229.2541421175333,1367.7069555168018,1230.332172050657,518.8825927571277,578.3729422942905,103.28453368921514,1225.1503808787877,159.07186838030864,793.977096386032
24,2232.786816858766,13075.48933696985,65298.760054488725,7155.529564079589,3550.3654741521036,4164.476116038218,761.4646010011211,534.4208825309686,715.4509402702334,409.4338657647493,856.8209161313305,1338.4111388595138,25975.07471234447,19562.64975650018,1667.7396659836643,2679.8647753424657,1373.656664968995,574.374976349845,1834.4215248433777,137.19930897710663,581.9706042830352,47.98862502393823,265.9407176528777,118.22737792695851,732.1361604844003,1987.4429804651427,6988.310988010091,2968.4494197056747,1676.9510423046922,3058.433295933517,1184.3937720309098,982.3687123712889,199.53564134731894,3358.8628707324556,3084.5102685409965,1810.781629983485,1369.751665660771,773.609618770778,189.81974068649959,2662.8846089489844,163.61033189977005,1171.658518200438
25,2354.2890806220157,14024.349986154437,68887.25679551798,7411.951880447463,3663.5814809274857,4321.894373615339,765.0989297046299,545.6282867948923,737.0173055082967,419.47842889873476,874.4329764422001,1363.4396713962667,27274.061778133488,20678.85833966738,1701.852179613847,2803.7233126030533,1444.840419094118,604.3143326080188,1907.5597933741687,139.39824523643435,593.416632107539,50.32802768689007,272.8206465566763,120.2356269344942,757.7810002240301,2093.717973612014,7474.303869280867,3022.0968922813013,1742.7213570356664,3141.05154132226,1240.0298827442418,995.8114311523971,202.87007835056272,3428.6079050396743,3256.1641244907905,1868.57174472678,1446.075494202245,793.4344722033484,195.15407130442978,2712.9977978118663,164.15172222140106,1192.373749069736
26,2663.1680623716966,15829.295379896832,73611.05574257592,7805.736595607804,3833.3899559195565,4559.666639065412,773.4724052914465,561.5392955396076,766.3228715213828,434.1044507295217,899.4046064532438,1398.0241288774587,28572.378932592972,21462.762875966167,1740.7552323494074,3081.2849518754,1617.4533083077174,674.5069390738307,2054.206276911542,144.06549938084308,605.1270775730031,56.930430474219946,288.7215538121537,123.37727635064267,811.2607076620366,2271.2616098384797,8044.170989804618,3129.562338786886,1824.5259458108937,3235.5437458029046,1330.0083788031777,1018.9093942410888,206.60275434849808,3610.5506856809484,3536.9558009014145,1969.351710254078,1571.0147439272107,824.0733454179128,203.17787124675405,2731.5122254023377,164.64908605405185,1235.3134319269593
27,1994.0835596521315,10941.556184193412,60585.79456933589,6985.160784965163,3544.2617861384197,3901.2319457829667,750.3400440762788,533.5146715085544,717.1427619938651,408.955772188712,855.438470131752,1337.2279247616011,24441.337476595454,18193.76190939769,1606.0146277381436,2531.462213391249,1283.1075564123016,532.5861444966458,1710.5168670669625,132.57816864953398,563.1179704224821,44.23366367484372,256.0666191337406,114.4172755429911,685.5559496506371,1881.4623759936203,6427.8669409083805,2837.3674936909224,1634.0139890702312,2940.3273404506695,1079.8495420975612,948.6607876764698,199.94782687985037,3241.817823323161,2858.2506403595617,1744.3274862190658,1256.810880830248,755.8585435238348,179.96141946472332,2449.057272107754,163.08158388899204,1129.0075726974985
28,2347.9879536168114,14136.032420362808,68118.68951829059,7451.219272105277,3703.9447128284746,4296.773942183271,766.3510977317225,549.6806418461076,744.9379689153786,423.0745201886218,880.8002878993769,1372.5456600206307,27145.588900837647,20500.78407128624,1687.6509367299425,2803.2806408270008,1457.5731572211746,609.138289923583,1911.0588803411358,139.62440751451857,592.2771851757188,50.543825012187206,273.1162996352205,120.21242415915242,759.7166776498665,2103.8297175756634,7268.762466299463,3020.03778222169,1744.2660490698158,3105.1201621787627,1216.0269355774801,991.2202839699615,206.5753945627223,3404.344592523501,3258.811350671415,1877.3053242157582,1446.0224547776522,793.7418668167257,193.82512625379337,2612.747113139527,163.74784026031108,1187.125321691866
29,2147.018309527268,12464.317681912695,63774.319111907666,7144.365732478296,3579.862311981863,4095.1116670766164,758.4510381841109,537.5230820466534,722.8725071507757,412.18577222708484,861.7146589191026,1345.8737916088487,25677.271411745558,19324.786481353345,1654.1955385178385,2611.93869692501,1348.3602547140217,562.0598275716925,1795.998960470051,135.86535964257158,577.8776663588686,46.4183447018148,261.4205473866341,117.28424478830149,717.5530013049936,1966.0500756668503,6720.0037237744,2938.1095153843926,1668.9045014340497,3002.5544189044313,1142.6976086917982,968.6970726885045,203.44182021485412,3286.367525043473,3031.752902987193,1792.6583128504576,1350.4081561693683,770.6144024255572,187.78798669698654,2573.191207774214,163.22982136493312,1154.1449648944154
30,3052.527043352501,21360.17428473823,82617.28378962049,8374.575020109052,4038.642906699131,5018.32360612608,793.7128857513642,582.7636101178056,804.23383781556,452.2760672930573,932.6737148333335,1444.8555107056325,31661.212921627593,24114.772488904662,1816.1108016023923,3338.9347006198227,1799.7771756261552,756.5436045265415,2273.5913612111476,151.5387599450836,636.7105250163461,62.590766851707905,302.2534958116048,129.54166694206603,894.0149691723509,2541.8481262693103,9091.766399286646,3315.5677018053957,1965.466466910958,3428.477366019451,1482.027928454876,1070.776208677927,217.27670607721856,3718.7208887347756,4008.168131491607,2123.933136404079,1787.3726489848118,864.6203244085915,216.37960762529286,2860.5447812338657,165.28626280401213,1292.473529517091
31,3248.520392064424,21514.737587334686,88490.54205902724,8982.313930502904,4371.49819089137,5181.912469446922,792.9665111801409,612.8816753994296,867.3291936423778,480.5202041248545,979.9397514408244,1511.4808341898843,33257.307278873144,25072.174602845356,1832.7656490613413,3679.6118255583538,1972.5859236553458,821.6762566242636,2378.0719383029004,153.4677846508156,643.0395606863319,68.47495606986423,317.81509019057944,130.85952497505713,927.7761747737624,2774.0517422409894,10179.320340062117,3321.938042221756,2119.0402525677027,3566.875597365894,1552.0516095021255,1079.759118107852,221.8553795496913,3907.7430958888954,4285.932939957381,2237.789263818292,1874.5157911301303,904.9401268987967,219.48928434394816,2758.0022385356724,166.51555537012044,1320.6906013779071
32,2529.017997887793,15131.002048826942,72579.61539787437,7727.661733523304,3815.229965931165,4508.825210126601,769.2272646063461,560.2545581953625,765.4952443032391,432.75627350718736,897.4075144377251,1395.9193129836071,28880.4493443792,22067.24627056194,1745.0758766394474,2955.548495784306,1555.9867810580963,650.2292322289247,2007.7731433722586,142.40912721333805,607.4326529956547,53.946080887005344,282.12048351893617,122.8770644114236,792.3880198571115,2231.05014301841,7804.132723744742,3106.509890757701,1809.9751179937236,3187.9525576153715,1291.2440078325158,1003.9229930221621,210.05519485298927,3494.7730798732896,3488.89629089294,1939.0436884055855,1563.4655830833592,817.8140895348477,202.932214168683,2727.8794894926696,164.28768219655618,1213.267176537478
33,2195.135735641639,13888.740326272793,65196.86728443583,7168.206459932311,3561.0481454119745,4160.931654191462,765.8612135301122,536.3570704020794,718.5061747493079,410.64504880484253,859.8561720975634,1343.0379371983286,26274.12057586443,19950.414318366322,1653.712400738289,2640.6241096933404,1356.1918453342023,570.5531927120448,1840.189500945642,137.68280097093907,586.6946861076123,47.02218917081843,264.3005030790699,118.78727329132623,735.8744731069331,1992.3857792740941,6884.829211384474,2967.8464872270006,1685.0147772035934,3051.465625255927,1165.7889334584356,985.3133517011465,203.65213243937535,3292.6579746919397,3094.641036104862,1824.1984899707822,1367.5064563419548,770.4206073897925,187.9013183260712,2591.559107315864,163.21597308337417,1165.279409054771
